SAM-Road Training Log - 2026-06-13 21:01:07
Epoch 0: 126/5292, train_mask_loss=0.1373, train_topo_loss=0.1568, train_loss=0.2941
Epoch 0: 127/5292, train_mask_loss=0.1647, train_topo_loss=0.2018, train_loss=0.3665
Epoch 0: 128/5292, train_mask_loss=0.1408, train_topo_loss=0.1745, train_loss=0.3153
Epoch 0: 129/5292, train_mask_loss=0.1556, train_topo_loss=0.1426, train_loss=0.2982
Epoch 0: 130/5292, train_mask_loss=0.1395, train_topo_loss=0.1413, train_loss=0.2808
Epoch 0: 131/5292, train_mask_loss=0.1063, train_topo_loss=0.1615, train_loss=0.2678
Epoch 0: 132/5292, train_mask_loss=0.1705, train_topo_loss=0.1420, train_loss=0.3125
Epoch 0: 133/5292, train_mask_loss=0.1401, train_topo_loss=0.1448, train_loss=0.2849
Epoch 0: 134/5292, train_mask_loss=0.1403, train_topo_loss=0.1181, train_loss=0.2584
Epoch 0: 135/5292, train_mask_loss=0.1661, train_topo_loss=0.1868, train_loss=0.3529
Epoch 0: 136/5292, train_mask_loss=0.1326, train_topo_loss=0.1773, train_loss=0.3100
Epoch 0: 137/5292, train_mask_loss=0.1544, train_topo_loss=0.1684, train_loss=0.3228
Epoch 0: 138/5292, train_mask_loss=0.1412, train_topo_loss=0.1649, train_loss=0.3062
Epoch 0: 139/5292, train_mask_loss=0.1590, train_topo_loss=0.1302, train_loss=0.2893
Epoch 0: 140/5292, train_mask_loss=0.1179, train_topo_loss=0.1555, train_loss=0.2734
Epoch 0: 141/5292, train_mask_loss=0.1364, train_topo_loss=0.1389, train_loss=0.2754
Epoch 0: 142/5292, train_mask_loss=0.1536, train_topo_loss=0.2090, train_loss=0.3626
Epoch 0: 143/5292, train_mask_loss=0.1298, train_topo_loss=0.1434, train_loss=0.2733
Epoch 0: 144/5292, train_mask_loss=0.1689, train_topo_loss=0.1312, train_loss=0.3001
Epoch 0: 145/5292, train_mask_loss=0.1325, train_topo_loss=0.1338, train_loss=0.2662
Epoch 0: 146/5292, train_mask_loss=0.1313, train_topo_loss=0.0875, train_loss=0.2187
Epoch 0: 147/5292, train_mask_loss=0.1322, train_topo_loss=0.1335, train_loss=0.2657
Epoch 0: 148/5292, train_mask_loss=0.1286, train_topo_loss=0.0795, train_loss=0.2081
Epoch 0: 149/5292, train_mask_loss=0.1032, train_topo_loss=0.1320, train_loss=0.2352
Epoch 0: 150/5292, train_mask_loss=0.1534, train_topo_loss=0.1545, train_loss=0.3079
Epoch 0: 151/5292, train_mask_loss=0.1336, train_topo_loss=0.1305, train_loss=0.2641
Epoch 0: 152/5292, train_mask_loss=0.1407, train_topo_loss=0.1639, train_loss=0.3046
Epoch 0: 153/5292, train_mask_loss=0.1477, train_topo_loss=0.1810, train_loss=0.3287
Epoch 0: 154/5292, train_mask_loss=0.1262, train_topo_loss=0.1191, train_loss=0.2453
Epoch 0: 155/5292, train_mask_loss=0.1124, train_topo_loss=0.0903, train_loss=0.2027
Epoch 0: 156/5292, train_mask_loss=0.1461, train_topo_loss=0.1427, train_loss=0.2889
Epoch 0: 157/5292, train_mask_loss=0.1331, train_topo_loss=0.1405, train_loss=0.2736
Epoch 0: 158/5292, train_mask_loss=0.1207, train_topo_loss=0.1702, train_loss=0.2909
Epoch 0: 159/5292, train_mask_loss=0.1137, train_topo_loss=0.1858, train_loss=0.2996
Epoch 0: 160/5292, train_mask_loss=0.1506, train_topo_loss=0.1674, train_loss=0.3180
Epoch 0: 161/5292, train_mask_loss=0.1331, train_topo_loss=0.1314, train_loss=0.2645
Epoch 0: 162/5292, train_mask_loss=0.1620, train_topo_loss=0.1373, train_loss=0.2993
Epoch 0: 163/5292, train_mask_loss=0.1120, train_topo_loss=0.1436, train_loss=0.2556
Epoch 0: 164/5292, train_mask_loss=0.1204, train_topo_loss=0.1466, train_loss=0.2671
Epoch 0: 165/5292, train_mask_loss=0.1584, train_topo_loss=0.1212, train_loss=0.2796
Epoch 0: 166/5292, train_mask_loss=0.1303, train_topo_loss=0.1495, train_loss=0.2798
Epoch 0: 167/5292, train_mask_loss=0.1264, train_topo_loss=0.1188, train_loss=0.2451
Epoch 0: 168/5292, train_mask_loss=0.1274, train_topo_loss=0.1106, train_loss=0.2380
Epoch 0: 169/5292, train_mask_loss=0.1392, train_topo_loss=0.1323, train_loss=0.2715
Epoch 0: 170/5292, train_mask_loss=0.1638, train_topo_loss=0.0930, train_loss=0.2568
Epoch 0: 171/5292, train_mask_loss=0.1510, train_topo_loss=0.1283, train_loss=0.2793
Epoch 0: 172/5292, train_mask_loss=0.1642, train_topo_loss=0.1532, train_loss=0.3173
Epoch 0: 173/5292, train_mask_loss=0.1583, train_topo_loss=0.1413, train_loss=0.2996
Epoch 0: 174/5292, train_mask_loss=0.1393, train_topo_loss=0.1451, train_loss=0.2844
Epoch 0: 175/5292, train_mask_loss=0.1518, train_topo_loss=0.1412, train_loss=0.2930
Epoch 0: 176/5292, train_mask_loss=0.1649, train_topo_loss=0.1182, train_loss=0.2831
Epoch 0: 177/5292, train_mask_loss=0.1350, train_topo_loss=0.1305, train_loss=0.2654
Epoch 0: 178/5292, train_mask_loss=0.1637, train_topo_loss=0.1973, train_loss=0.3610
Epoch 0: 179/5292, train_mask_loss=0.1469, train_topo_loss=0.1408, train_loss=0.2877
Epoch 0: 180/5292, train_mask_loss=0.1400, train_topo_loss=0.1032, train_loss=0.2432
Epoch 0: 181/5292, train_mask_loss=0.1453, train_topo_loss=0.0906, train_loss=0.2359
Epoch 0: 182/5292, train_mask_loss=0.1803, train_topo_loss=0.1361, train_loss=0.3164
Epoch 0: 183/5292, train_mask_loss=0.1389, train_topo_loss=0.1894, train_loss=0.3283
Epoch 0: 184/5292, train_mask_loss=0.1514, train_topo_loss=0.1450, train_loss=0.2964
Epoch 0: 185/5292, train_mask_loss=0.1499, train_topo_loss=0.1344, train_loss=0.2843
Epoch 0: 186/5292, train_mask_loss=0.1571, train_topo_loss=0.1562, train_loss=0.3133
Epoch 0: 187/5292, train_mask_loss=0.1058, train_topo_loss=0.1053, train_loss=0.2111
Epoch 0: 188/5292, train_mask_loss=0.1281, train_topo_loss=0.1040, train_loss=0.2321
Epoch 0: 189/5292, train_mask_loss=0.1031, train_topo_loss=0.1546, train_loss=0.2577
Epoch 0: 190/5292, train_mask_loss=0.1358, train_topo_loss=0.1210, train_loss=0.2568
Epoch 0: 191/5292, train_mask_loss=0.1537, train_topo_loss=0.1415, train_loss=0.2951
Epoch 0: 192/5292, train_mask_loss=0.1468, train_topo_loss=0.1234, train_loss=0.2702
Epoch 0: 193/5292, train_mask_loss=0.1286, train_topo_loss=0.1172, train_loss=0.2459
Epoch 0: 194/5292, train_mask_loss=0.1151, train_topo_loss=0.1399, train_loss=0.2549
Epoch 0: 195/5292, train_mask_loss=0.1478, train_topo_loss=0.1337, train_loss=0.2815
Epoch 0: 196/5292, train_mask_loss=0.1236, train_topo_loss=0.1528, train_loss=0.2765
Epoch 0: 197/5292, train_mask_loss=0.1412, train_topo_loss=0.1268, train_loss=0.2680
Epoch 0: 198/5292, train_mask_loss=0.1532, train_topo_loss=0.1315, train_loss=0.2846
Epoch 0: 199/5292, train_mask_loss=0.1343, train_topo_loss=0.0896, train_loss=0.2239
